date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:35:22	7910/7910	---M-Z	200	added ('OK')	image/png	date:Mon,%2007%20Sep%202020%2019:14:47%20GMT	https://dictation.io/apple-icon-180x180.png	C:/My%20Web%20Sites/VOICE/dictation.io/apple-icon-180x180.png	(from https://dictation.io/speech)
07:35:22	7212/7212	---M-Z	200	added ('OK')	image/png	date:Mon,%2007%20Sep%202020%2019:14:47%20GMT	https://dictation.io/android-icon-192x192.png	C:/My%20Web%20Sites/VOICE/dictation.io/android-icon-192x192.png	(from https://dictation.io/speech)
07:35:22	1658/1658	---M-Z	200	added ('OK')	image/png	date:Mon,%2007%20Sep%202020%2019:14:47%20GMT	https://dictation.io/favicon-32x32.png	C:/My%20Web%20Sites/VOICE/dictation.io/favicon-32x32.png	(from https://dictation.io/speech)
07:35:22	1150/1150	---M-Z	200	added ('OK')	image/png	date:Mon,%2007%20Sep%202020%2019:14:47%20GMT	https://dictation.io/favicon-16x16.png	C:/My%20Web%20Sites/VOICE/dictation.io/favicon-16x16.png	(from https://dictation.io/speech)
07:35:22	4876/4876	---M-Z	200	added ('OK')	image/png	date:Mon,%2007%20Sep%202020%2019:14:47%20GMT	https://dictation.io/apple-icon-120x120.png	C:/My%20Web%20Sites/VOICE/dictation.io/apple-icon-120x120.png	(from https://dictation.io/speech)
07:35:22	3736/3736	---M-Z	200	added ('OK')	image/png	date:Mon,%2007%20Sep%202020%2019:14:47%20GMT	https://dictation.io/favicon-96x96.png	C:/My%20Web%20Sites/VOICE/dictation.io/favicon-96x96.png	(from https://dictation.io/speech)
07:35:22	963/963	---M-Z	200	added ('OK')	application/json	date:Mon,%2007%20Sep%202020%2019:14:47%20GMT	https://dictation.io/manifest.json	C:/My%20Web%20Sites/VOICE/dictation.io/manifest.json	(from https://dictation.io/speech)
07:35:23	6001/6001	---M-Z	200	added ('OK')	image/png	date:Mon,%2007%20Sep%202020%2019:14:47%20GMT	https://dictation.io/ms-icon-144x144.png	C:/My%20Web%20Sites/VOICE/dictation.io/ms-icon-144x144.png	(from https://dictation.io/speech)
07:35:23	171705/171705	---M--	200	added ('OK')	text/javascript	etag:5027994542394075495	https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js	C:/My%20Web%20Sites/VOICE/pagead2.googlesyndication.com/pagead/js/f.txt	(from https://dictation.io/speech)
07:35:25	4064/4064	---M-Z	200	added ('OK')	text/css	etag:%225eb03e2d-fe0%22	http://cdnjs.cloudflare.com/ajax/libs/cookieconsent2/3.1.0/cookieconsent.min.css	C:/My%20Web%20Sites/VOICE/cdnjs.cloudflare.com/ajax/libs/cookieconsent2/3.1.0/cookieconsent.min.css	(from https://dictation.io/speech)
07:35:25	20808/20808	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03e2d-5148%22	http://cdnjs.cloudflare.com/ajax/libs/cookieconsent2/3.1.0/cookieconsent.min.js	C:/My%20Web%20Sites/VOICE/cdnjs.cloudflare.com/ajax/libs/cookieconsent2/3.1.0/cookieconsent.min.js	(from https://dictation.io/speech)
07:35:25	642/642	---M-Z	200	added ('OK')	image/svg+xml	date:Mon,%2007%20Sep%202020%2019:14:47%20GMT	https://dictation.io/images/mic.svg	C:/My%20Web%20Sites/VOICE/dictation.io/images/mic.svg	(from https://dictation.io/speech)
07:35:25	12041/12041	---M-Z	200	added ('OK')	text/html	date:Mon,%2007%20Sep%202020%2019:14:47%20GMT	https://dictation.io/help	C:/My%20Web%20Sites/VOICE/dictation.io/help.html	(from https://dictation.io/speech)
07:35:26	15020/15020	---M-Z	200	added ('OK')	text/html	date:Mon,%2007%20Sep%202020%2019:14:47%20GMT	https://dictation.io/languages	C:/My%20Web%20Sites/VOICE/dictation.io/languages.html	(from https://dictation.io/speech)
07:35:26	9438/9438	---M-Z	200	added ('OK')	text/html	date:Mon,%2007%20Sep%202020%2019:14:47%20GMT	https://dictation.io/commands	C:/My%20Web%20Sites/VOICE/dictation.io/commands.html	(from https://dictation.io/speech)
07:35:26	18618/18618	---M-Z	200	added ('OK')	image/jpeg	date:Mon,%2007%20Sep%202020%2019:14:47%20GMT	https://dictation.io/images/chrome.jpg	C:/My%20Web%20Sites/VOICE/dictation.io/images/chrome.jpg	(from https://dictation.io/speech)
07:35:27	52643/52643	---M-Z	200	added ('OK')	image/png	date:Mon,%2007%20Sep%202020%2019:14:47%20GMT	https://dictation.io/images/unblock-microphone.png	C:/My%20Web%20Sites/VOICE/dictation.io/images/unblock-microphone.png	(from https://dictation.io/speech)
07:35:27	24743/24743	---M-Z	200	added ('OK')	text/css	etag:%225eb03fae-60a7%22	https://cdnjs.cloudflare.com/ajax/libs/quill/1.3.7/quill.snow.css	C:/My%20Web%20Sites/VOICE/cdnjs.cloudflare.com/ajax/libs/quill/1.3.7/quill.snow.css	(from https://dictation.io/speech)
07:35:27	216333/216333	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03fae-34d0d%22	https://cdnjs.cloudflare.com/ajax/libs/quill/1.3.7/quill.min.js	C:/My%20Web%20Sites/VOICE/cdnjs.cloudflare.com/ajax/libs/quill/1.3.7/quill.min.js	(from https://dictation.io/speech)
07:35:27	223485/223485	---M-Z	200	added ('OK')	text/css	date:Mon,%2007%20Sep%202020%2019:14:47%20GMT	https://dictation.io/css/1598275350397.css	C:/My%20Web%20Sites/VOICE/dictation.io/css/1598275350397.css	(from https://dictation.io/speech)
07:35:28	24743/24743	---M-Z	200	added ('OK')	text/css	etag:%227939ef0632218dcfc08e72d794de962d%22	https://cdn.quilljs.com/1.3.7/quill.snow.css	C:/My%20Web%20Sites/VOICE/cdn.quilljs.com/1.3.7/quill.snow.css	(from https://dictation.io/)
07:35:28	172139/172139	---M-Z	200	added ('OK')	text/javascript	date:Mon,%2007%20Sep%202020%2019:14:47%20GMT	https://dictation.io/js/1598275350397.js	C:/My%20Web%20Sites/VOICE/dictation.io/js/1598275350397.js	(from https://dictation.io/speech)
07:35:29	216333/216333	---MCZ	200	added ('OK')	text/javascript	etag:%22929349222da793a2128c4d55bebc2adc%22	https://cdn.quilljs.com/1.3.7/quill.min.js	C:/My%20Web%20Sites/VOICE/cdn.quilljs.com/1.3.7/quill.min.js	(from https://dictation.io/)
07:35:29	10874/10874	---M-Z	200	added ('OK')	image/png	date:Mon,%2007%20Sep%202020%2019:14:47%20GMT	https://dictation.io/images/dictation.png	C:/My%20Web%20Sites/VOICE/dictation.io/images/dictation.png	(from https://dictation.io/help)
07:35:29	28/28	---M--	301	error ('Moved%20Permanently')	text/plain	date:Mon,%2031%20Oct%202022%2000:35:28%20GMT	https://dictation.io/languages/en.html	C:/My%20Web%20Sites/VOICE/dictation.io/languages/en.html	(from https://dictation.io/languages)
07:35:29	13893/13893	---M-Z	200	added ('OK')	text/html	date:Mon,%2007%20Sep%202020%2019:14:47%20GMT	https://dictation.io/languages/en	C:/My%20Web%20Sites/VOICE/dictation.io/languages/en.html	(from https://dictation.io/languages)
07:35:30	34872/34872	---M-Z	200	added ('OK')	image/png	date:Mon,%2007%20Sep%202020%2019:14:47%20GMT	https://dictation.io/images/allow-microphone-access.png	C:/My%20Web%20Sites/VOICE/dictation.io/images/allow-microphone-access.png	(from https://dictation.io/help)
07:35:30	28/28	---M--	301	error ('Moved%20Permanently')	text/plain	date:Mon,%2031%20Oct%202022%2000:35:29%20GMT	https://dictation.io/languages/hi.html	C:/My%20Web%20Sites/VOICE/dictation.io/languages/hi.html	(from https://dictation.io/languages)
07:35:30	10658/10658	---M-Z	200	added ('OK')	text/html	date:Mon,%2007%20Sep%202020%2019:14:47%20GMT	https://dictation.io/languages/hi	C:/My%20Web%20Sites/VOICE/dictation.io/languages/hi.html	(from https://dictation.io/languages)
07:35:30	28/28	---M--	301	error ('Moved%20Permanently')	text/plain	date:Mon,%2031%20Oct%202022%2000:35:29%20GMT	https://dictation.io/languages/it.html	C:/My%20Web%20Sites/VOICE/dictation.io/languages/it.html	(from https://dictation.io/languages)
